Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Apr 13 2019,2:30p,Brooklyn Nets,111,Philadelphia 76ers,102,Box Score,,20437,
Sat Apr 13 2019,5:00p,Orlando Magic,104,Toronto Raptors,101,Box Score,,19937,
Sat Apr 13 2019,8:00p,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,19596,
Sat Apr 13 2019,10:30p,San Antonio Spurs,101,Denver Nuggets,96,Box Score,,19520,
Sun Apr 14 2019,1:00p,Indiana Pacers,74,Boston Celtics,84,Box Score,,18624,
Sun Apr 14 2019,3:30p,Oklahoma City Thunder,99,Portland Trail Blazers,104,Box Score,,19886,
Sun Apr 14 2019,7:00p,Detroit Pistons,86,Milwaukee Bucks,121,Box Score,,17529,
Sun Apr 14 2019,9:30p,Utah Jazz,90,Houston Rockets,122,Box Score,,18055,
Mon Apr 15 2019,8:00p,Brooklyn Nets,123,Philadelphia 76ers,145,Box Score,,20591,
Mon Apr 15 2019,10:30p,Los Angeles Clippers,135,Golden State Warriors,131,Box Score,,19596,
Tue Apr 16 2019,8:00p,Orlando Magic,82,Toronto Raptors,111,Box Score,,19964,
Tue Apr 16 2019,9:00p,San Antonio Spurs,105,Denver Nuggets,114,Box Score,,19520,
Tue Apr 16 2019,10:30p,Oklahoma City Thunder,94,Portland Trail Blazers,114,Box Score,,20041,
Wed Apr 17 2019,7:00p,Indiana Pacers,91,Boston Celtics,99,Box Score,,18624,
Wed Apr 17 2019,8:00p,Detroit Pistons,99,Milwaukee Bucks,120,Box Score,,17513,
Wed Apr 17 2019,9:30p,Utah Jazz,98,Houston Rockets,118,Box Score,,18055,
Thu Apr 18 2019,8:00p,Philadelphia 76ers,131,Brooklyn Nets,115,Box Score,,17732,
Thu Apr 18 2019,9:00p,Denver Nuggets,108,San Antonio Spurs,118,Box Score,,18354,
Thu Apr 18 2019,10:30p,Golden State Warriors,132,Los Angeles Clippers,105,Box Score,,19068,
Fri Apr 19 2019,7:00p,Toronto Raptors,98,Orlando Magic,93,Box Score,,19367,
Fri Apr 19 2019,8:30p,Boston Celtics,104,Indiana Pacers,96,Box Score,,17923,
Fri Apr 19 2019,9:30p,Portland Trail Blazers,108,Oklahoma City Thunder,120,Box Score,,18203,
Sat Apr 20 2019,3:00p,Philadelphia 76ers,112,Brooklyn Nets,108,Box Score,,17732,
Sat Apr 20 2019,5:30p,Denver Nuggets,117,San Antonio Spurs,103,Box Score,,18354,
Sat Apr 20 2019,8:00p,Milwaukee Bucks,119,Detroit Pistons,103,Box Score,,20520,
Sat Apr 20 2019,10:30p,Houston Rockets,104,Utah Jazz,101,Box Score,,18306,
Sun Apr 21 2019,1:00p,Boston Celtics,110,Indiana Pacers,106,Box Score,,17923,
Sun Apr 21 2019,3:30p,Golden State Warriors,113,Los Angeles Clippers,105,Box Score,,19068,
Sun Apr 21 2019,7:00p,Toronto Raptors,107,Orlando Magic,85,Box Score,,19087,
Sun Apr 21 2019,9:30p,Portland Trail Blazers,111,Oklahoma City Thunder,98,Box Score,,18203,
Mon Apr 22 2019,8:00p,Milwaukee Bucks,127,Detroit Pistons,104,Box Score,,20332,
Mon Apr 22 2019,10:30p,Houston Rockets,91,Utah Jazz,107,Box Score,,18306,
Tue Apr 23 2019,7:00p,Orlando Magic,96,Toronto Raptors,115,Box Score,,19800,
Tue Apr 23 2019,8:00p,Brooklyn Nets,100,Philadelphia 76ers,122,Box Score,,20595,
Tue Apr 23 2019,9:30p,San Antonio Spurs,90,Denver Nuggets,108,Box Score,,19520,
Tue Apr 23 2019,10:30p,Oklahoma City Thunder,115,Portland Trail Blazers,118,Box Score,,20241,
Wed Apr 24 2019,8:00p,Utah Jazz,93,Houston Rockets,100,Box Score,,18055,
Wed Apr 24 2019,10:30p,Los Angeles Clippers,129,Golden State Warriors,121,Box Score,,19596,
Thu Apr 25 2019,8:00p,Denver Nuggets,103,San Antonio Spurs,120,Box Score,,18354,
Fri Apr 26 2019,10:00p,Golden State Warriors,129,Los Angeles Clippers,110,Box Score,,19068,
Sat Apr 27 2019,7:30p,Philadelphia 76ers,95,Toronto Raptors,108,Box Score,,19800,
Sat Apr 27 2019,10:00p,San Antonio Spurs,86,Denver Nuggets,90,Box Score,,19725,
Sun Apr 28 2019,1:00p,Boston Celtics,112,Milwaukee Bucks,90,Box Score,,17561,
Sun Apr 28 2019,3:30p,Houston Rockets,100,Golden State Warriors,104,Box Score,,19596,
Mon Apr 29 2019,8:00p,Philadelphia 76ers,94,Toronto Raptors,89,Box Score,,19800,
Mon Apr 29 2019,10:30p,Portland Trail Blazers,113,Denver Nuggets,121,Box Score,,19520,
Tue Apr 30 2019,8:00p,Boston Celtics,102,Milwaukee Bucks,123,Box Score,,17536,
Tue Apr 30 2019,10:30p,Houston Rockets,109,Golden State Warriors,115,Box Score,,19596,
Wed May 1 2019,9:00p,Portland Trail Blazers,97,Denver Nuggets,90,Box Score,,19520,
Thu May 2 2019,8:00p,Toronto Raptors,95,Philadelphia 76ers,116,Box Score,,20658,
Fri May 3 2019,8:00p,Milwaukee Bucks,123,Boston Celtics,116,Box Score,,18624,
Fri May 3 2019,10:30p,Denver Nuggets,137,Portland Trail Blazers,140,Box Score,4OT,20193,
Sat May 4 2019,8:30p,Golden State Warriors,121,Houston Rockets,126,Box Score,OT,18169,
Sun May 5 2019,3:30p,Toronto Raptors,101,Philadelphia 76ers,96,Box Score,,20639,
Sun May 5 2019,7:00p,Denver Nuggets,116,Portland Trail Blazers,112,Box Score,,20146,
Mon May 6 2019,7:00p,Milwaukee Bucks,113,Boston Celtics,101,Box Score,,18624,
Mon May 6 2019,9:30p,Golden State Warriors,108,Houston Rockets,112,Box Score,,18055,
Tue May 7 2019,8:00p,Philadelphia 76ers,89,Toronto Raptors,125,Box Score,,20287,
Tue May 7 2019,10:30p,Portland Trail Blazers,98,Denver Nuggets,124,Box Score,,19520,
Wed May 8 2019,8:00p,Boston Celtics,91,Milwaukee Bucks,116,Box Score,,17701,
Wed May 8 2019,10:30p,Houston Rockets,99,Golden State Warriors,104,Box Score,,19596,
Thu May 9 2019,8:00p,Toronto Raptors,101,Philadelphia 76ers,112,Box Score,,20525,
Thu May 9 2019,10:30p,Denver Nuggets,108,Portland Trail Blazers,119,Box Score,,20022,
Fri May 10 2019,9:00p,Golden State Warriors,118,Houston Rockets,113,Box Score,,18055,
Sun May 12 2019,3:30p,Portland Trail Blazers,100,Denver Nuggets,96,Box Score,,19725,
Sun May 12 2019,7:00p,Philadelphia 76ers,90,Toronto Raptors,92,Box Score,,20917,
Tue May 14 2019,9:00p,Portland Trail Blazers,94,Golden State Warriors,116,Box Score,,19596,
Wed May 15 2019,8:30p,Toronto Raptors,100,Milwaukee Bucks,108,Box Score,,17345,
Thu May 16 2019,9:00p,Portland Trail Blazers,111,Golden State Warriors,114,Box Score,,19596,
Fri May 17 2019,8:30p,Toronto Raptors,103,Milwaukee Bucks,125,Box Score,,17570,
Sat May 18 2019,9:00p,Golden State Warriors,110,Portland Trail Blazers,99,Box Score,,20214,
Sun May 19 2019,7:00p,Milwaukee Bucks,112,Toronto Raptors,118,Box Score,2OT,19923,
Mon May 20 2019,9:00p,Golden State Warriors,119,Portland Trail Blazers,117,Box Score,OT,20064,
Tue May 21 2019,8:30p,Milwaukee Bucks,102,Toronto Raptors,120,Box Score,,20237,
Thu May 23 2019,8:30p,Toronto Raptors,105,Milwaukee Bucks,99,Box Score,,17384,
Sat May 25 2019,8:30p,Milwaukee Bucks,94,Toronto Raptors,100,Box Score,,20478,
Thu May 30 2019,9:00p,Golden State Warriors,109,Toronto Raptors,118,Box Score,,19983,
