Date,Start (ET),Visitor,Visitor PTS,Home,Home PTS,,,Attend.,Notes
Tue Oct 22 2019,8:00p,NOP,122,TOR,130,Box Score,OT,20787,
Tue Oct 22 2019,10:30p,LAL,102,LAC,112,Box Score,,19068,
Wed Oct 23 2019,7:00p,CHI,125,CHO,126,Box Score,,15424,
Wed Oct 23 2019,7:00p,DET,119,IND,110,Box Score,,17923,
Wed Oct 23 2019,7:00p,CLE,85,ORL,94,Box Score,,18846,
Wed Oct 23 2019,7:30p,MIN,127,BRK,126,Box Score,OT,17732,
Wed Oct 23 2019,7:30p,MEM,101,MIA,120,Box Score,,19600,
Wed Oct 23 2019,7:30p,BOS,93,PHI,107,Box Score,,20422,
Wed Oct 23 2019,8:30p,WAS,100,DAL,108,Box Score,,19816,
Wed Oct 23 2019,8:30p,NYK,111,SAS,120,Box Score,,18354,
Wed Oct 23 2019,9:00p,OKC,95,UTA,100,Box Score,,18306,
Wed Oct 23 2019,10:00p,SAC,95,PHO,124,Box Score,,18055,
Wed Oct 23 2019,10:00p,DEN,108,POR,100,Box Score,,19991,
Thu Oct 24 2019,7:00p,ATL,117,DET,100,Box Score,,20338,
Thu Oct 24 2019,8:00p,MIL,117,HOU,111,Box Score,,18055,
Thu Oct 24 2019,10:30p,LAC,141,GSW,122,Box Score,,18064,
Fri Oct 25 2019,7:00p,TOR,106,BOS,112,Box Score,,18624,
Fri Oct 25 2019,7:00p,MIN,121,CHO,99,Box Score,,14879,
Fri Oct 25 2019,7:30p,NYK,109,BRK,113,Box Score,,17732,
Fri Oct 25 2019,8:00p,CHI,110,MEM,102,Box Score,,17794,
Fri Oct 25 2019,8:00p,DAL,123,NOP,116,Box Score,,17027,
Fri Oct 25 2019,8:00p,WAS,97,OKC,85,Box Score,,18203,
Fri Oct 25 2019,9:00p,PHO,107,DEN,108,Box Score,OT,19557,
Fri Oct 25 2019,10:00p,POR,122,SAC,112,Box Score,,17583,
Fri Oct 25 2019,10:30p,UTA,86,LAL,95,Box Score,,18997,
Sat Oct 26 2019,5:00p,MIA,131,MIL,126,Box Score,OT,17467,
Sat Oct 26 2019,7:00p,PHI,117,DET,111,Box Score,,16207,
Sat Oct 26 2019,7:30p,ORL,99,ATL,103,Box Score,,17078,
Sat Oct 26 2019,7:30p,BOS,118,NYK,95,Box Score,,19812,
Sat Oct 26 2019,8:00p,TOR,108,CHI,84,Box Score,,21498,
Sat Oct 26 2019,8:00p,IND,99,CLE,110,Box Score,,19432,
Sat Oct 26 2019,8:00p,NOP,123,HOU,126,Box Score,,18055,
Sat Oct 26 2019,8:30p,WAS,122,SAS,124,Box Score,,18354,
Sat Oct 26 2019,9:00p,SAC,81,UTA,113,Box Score,,18306,
Sat Oct 26 2019,10:00p,LAC,122,PHO,130,Box Score,,15802,
Sun Oct 27 2019,3:30p,GSW,92,OKC,120,Box Score,,18203,
Sun Oct 27 2019,6:00p,BRK,133,MEM,134,Box Score,OT,15517,
Sun Oct 27 2019,7:00p,POR,121,DAL,119,Box Score,,19707,
Sun Oct 27 2019,7:00p,MIA,109,MIN,116,Box Score,,17049,
Sun Oct 27 2019,9:30p,CHO,101,LAL,120,Box Score,,18997,
Mon Oct 28 2019,7:00p,CHI,98,NYK,105,Box Score,,19812,
Mon Oct 28 2019,7:00p,IND,94,DET,96,Box Score,,13565,
Mon Oct 28 2019,7:30p,ORL,95,TOR,104,Box Score,,19800,
Mon Oct 28 2019,7:30p,PHI,105,ATL,103,Box Score,,14094,
Mon Oct 28 2019,8:00p,OKC,112,HOU,116,Box Score,,18055,
Mon Oct 28 2019,8:00p,CLE,112,MIL,129,Box Score,,17385,
Mon Oct 28 2019,8:00p,GSW,134,NOP,123,Box Score,,17307,
Mon Oct 28 2019,8:30p,POR,110,SAS,113,Box Score,,18083,
Mon Oct 28 2019,10:00p,UTA,96,PHO,95,Box Score,,14805,
Mon Oct 28 2019,10:00p,DEN,101,SAC,94,Box Score,,15870,
Mon Oct 28 2019,10:30p,CHO,96,LAC,111,Box Score,,19068,
Tue Oct 29 2019,7:30p,ATL,97,MIA,112,Box Score,,19600,
Tue Oct 29 2019,9:00p,DAL,109,DEN,106,Box Score,,16605,
Tue Oct 29 2019,10:30p,MEM,91,LAL,120,Box Score,,18997,
Wed Oct 30 2019,7:00p,CHI,111,CLE,117,Box Score,,17595,
Wed Oct 30 2019,7:00p,NYK,83,ORL,95,Box Score,,17456,
Wed Oct 30 2019,7:00p,MIN,95,PHI,117,Box Score,,20204,
Wed Oct 30 2019,7:30p,MIL,105,BOS,116,Box Score,,18624,
Wed Oct 30 2019,7:30p,IND,118,BRK,108,Box Score,,17083,
Wed Oct 30 2019,7:30p,DET,113,TOR,125,Box Score,,19800,
Wed Oct 30 2019,8:00p,POR,102,OKC,99,Box Score,,18203,
Wed Oct 30 2019,8:00p,HOU,159,WAS,158,Box Score,,20476,
Wed Oct 30 2019,10:00p,CHO,118,SAC,111,Box Score,,15416,
Wed Oct 30 2019,10:00p,LAC,96,UTA,110,Box Score,,18306,
Wed Oct 30 2019,10:30p,PHO,121,GSW,110,Box Score,,18064,
Thu Oct 31 2019,7:00p,MIA,106,ATL,97,Box Score,,16539,
Thu Oct 31 2019,9:30p,DEN,107,NOP,122,Box Score,,16613,
Thu Oct 31 2019,10:30p,SAS,97,LAC,103,Box Score,,19068,
Fri Nov 1 2019,7:00p,HOU,116,BRK,123,Box Score,,17732,
Fri Nov 1 2019,7:00p,CLE,95,IND,102,Box Score,,16079,
Fri Nov 1 2019,7:00p,MIL,123,ORL,91,Box Score,,15105,
Fri Nov 1 2019,7:30p,NYK,102,BOS,104,Box Score,,18624,
Fri Nov 1 2019,8:00p,DET,106,CHI,112,Box Score,,20671,
Fri Nov 1 2019,9:30p,LAL,119,DAL,110,Box Score,OT,20358,
Fri Nov 1 2019,10:00p,UTA,101,SAC,102,Box Score,,16273,
Fri Nov 1 2019,10:30p,SAS,127,GSW,110,Box Score,,18064,
Sat Nov 2 2019,5:00p,NOP,104,OKC,115,Box Score,,18203,
Sat Nov 2 2019,7:00p,BRK,109,DET,113,Box Score,,17222,
Sat Nov 2 2019,7:00p,DEN,91,ORL,87,Box Score,,17025,
Sat Nov 2 2019,8:00p,PHO,114,MEM,105,Box Score,,14144,
Sat Nov 2 2019,8:00p,TOR,105,MIL,115,Box Score,,17637,
Sat Nov 2 2019,8:00p,MIN,131,WAS,109,Box Score,,15150,
Sat Nov 2 2019,8:30p,CHO,93,GSW,87,Box Score,,18064,
Sat Nov 2 2019,10:00p,PHI,129,POR,128,Box Score,,19669,
Sun Nov 3 2019,5:00p,CHI,95,IND,108,Box Score,,17073,
Sun Nov 3 2019,6:00p,HOU,100,MIA,129,Box Score,,19724,
Sun Nov 3 2019,6:00p,SAC,113,NYK,92,Box Score,,19812,
Sun Nov 3 2019,7:00p,LAL,103,SAS,96,Box Score,,18610,
Sun Nov 3 2019,7:30p,DAL,131,CLE,111,Box Score,,18078,
Sun Nov 3 2019,9:00p,UTA,94,LAC,105,Box Score,,19068,
Mon Nov 4 2019,7:00p,DET,99,WAS,115,Box Score,,13052,
Mon Nov 4 2019,7:30p,NOP,125,BRK,135,Box Score,,17194,
Mon Nov 4 2019,8:00p,HOU,107,MEM,100,Box Score,,14197,
Mon Nov 4 2019,8:00p,MIL,134,MIN,106,Box Score,,16271,
Mon Nov 4 2019,9:00p,PHI,109,PHO,114,Box Score,,14285,
Mon Nov 4 2019,10:30p,POR,118,GSW,127,Box Score,,18064,
Tue Nov 5 2019,7:00p,IND,120,CHO,122,Box Score,OT,13341,
Tue Nov 5 2019,7:00p,BOS,119,CLE,113,Box Score,,17709,
Tue Nov 5 2019,7:30p,SAS,100,ATL,108,Box Score,,14025,
Tue Nov 5 2019,8:00p,LAL,118,CHI,112,Box Score,,21193,
Tue Nov 5 2019,8:00p,ORL,94,OKC,102,Box Score,,18203,
Tue Nov 5 2019,9:00p,MIA,89,DEN,109,Box Score,,18010,
Wed Nov 6 2019,7:00p,NYK,102,DET,122,Box Score,,15463,
Wed Nov 6 2019,7:00p,WAS,106,IND,121,Box Score,,16171,
Wed Nov 6 2019,7:30p,CHI,113,ATL,93,Box Score,,15049,
Wed Nov 6 2019,7:30p,GSW,112,HOU,129,Box Score,,18055,
Wed Nov 6 2019,7:30p,SAC,120,TOR,124,Box Score,,19800,
Wed Nov 6 2019,8:00p,MIN,121,MEM,137,Box Score,,13503,
Wed Nov 6 2019,8:30p,ORL,106,DAL,107,Box Score,,19487,
Wed Nov 6 2019,9:00p,PHI,104,UTA,106,Box Score,,18306,
Wed Nov 6 2019,10:00p,MIL,129,LAC,124,Box Score,,19068,
Thu Nov 7 2019,8:00p,BOS,108,CHO,87,Box Score,,18487,
Thu Nov 7 2019,8:30p,OKC,112,SAS,121,Box Score,,18354,
Thu Nov 7 2019,9:00p,MIA,124,PHO,108,Box Score,,15498,
Thu Nov 7 2019,10:30p,POR,101,LAC,107,Box Score,,19068,
Fri Nov 8 2019,7:00p,DET,106,IND,112,Box Score,,15544,
Fri Nov 8 2019,7:00p,MEM,86,ORL,118,Box Score,,17021,
Fri Nov 8 2019,7:00p,CLE,113,WAS,100,Box Score,,16946,
Fri Nov 8 2019,7:30p,SAC,121,ATL,109,Box Score,,16447,
Fri Nov 8 2019,8:00p,GSW,119,MIN,125,Box Score,OT,15647,
Fri Nov 8 2019,8:00p,TOR,122,NOP,104,Box Score,,16337,
Fri Nov 8 2019,8:30p,NYK,106,DAL,102,Box Score,,20257,
Fri Nov 8 2019,9:00p,PHI,97,DEN,100,Box Score,,19520,
Fri Nov 8 2019,9:00p,MIL,100,UTA,103,Box Score,,18306,
Fri Nov 8 2019,10:00p,BRK,119,POR,115,Box Score,,20089,
Fri Nov 8 2019,10:30p,MIA,80,LAL,95,Box Score,,18997,
Sat Nov 9 2019,5:00p,BOS,135,SAS,115,Box Score,,18354,
Sat Nov 9 2019,7:00p,NOP,115,CHO,110,Box Score,,18513,
Sat Nov 9 2019,8:00p,HOU,117,CHI,94,Box Score,,20482,
Sat Nov 9 2019,8:00p,DAL,138,MEM,122,Box Score,,15753,
Sat Nov 9 2019,8:00p,GSW,108,OKC,114,Box Score,,18203,
Sun Nov 10 2019,3:30p,DEN,100,MIN,98,Box Score,OT,13553,
Sun Nov 10 2019,6:00p,IND,109,ORL,102,Box Score,,17118,
Sun Nov 10 2019,6:00p,CHO,106,PHI,114,Box Score,,20311,
Sun Nov 10 2019,7:00p,MIL,121,OKC,119,Box Score,,18203,
Sun Nov 10 2019,7:30p,CLE,108,NYK,87,Box Score,,19812,
Sun Nov 10 2019,8:00p,BRK,112,PHO,138,Box Score,,17290,
Sun Nov 10 2019,9:00p,ATL,113,POR,124,Box Score,OT,20041,
Sun Nov 10 2019,9:30p,TOR,113,LAL,104,Box Score,,18997,
Mon Nov 11 2019,7:00p,MIN,120,DET,114,Box Score,,12526,
Mon Nov 11 2019,7:30p,DAL,106,BOS,116,Box Score,,18624,
Mon Nov 11 2019,7:30p,MEM,113,SAS,109,Box Score,,18627,
Mon Nov 11 2019,8:00p,HOU,122,NOP,116,Box Score,,16695,
Mon Nov 11 2019,10:30p,UTA,122,GSW,108,Box Score,,18064,
Mon Nov 11 2019,10:30p,TOR,88,LAC,98,Box Score,,19068,
Tue Nov 12 2019,7:00p,OKC,85,IND,111,Box Score,,15838,
Tue Nov 12 2019,7:00p,CLE,97,PHI,98,Box Score,,20294,
Tue Nov 12 2019,7:30p,DET,108,MIA,117,Box Score,,19600,
Tue Nov 12 2019,8:00p,NYK,102,CHI,120,Box Score,,18668,
Tue Nov 12 2019,9:00p,ATL,125,DEN,121,Box Score,,18327,
Tue Nov 12 2019,9:00p,LAL,123,PHO,115,Box Score,,18055,
Tue Nov 12 2019,9:00p,BRK,114,UTA,119,Box Score,,18306,
Tue Nov 12 2019,10:00p,POR,99,SAC,107,Box Score,,16358,
Wed Nov 13 2019,7:00p,MEM,119,CHO,117,Box Score,,13155,
Wed Nov 13 2019,7:00p,PHI,97,ORL,112,Box Score,,15113,
Wed Nov 13 2019,7:30p,WAS,133,BOS,140,Box Score,,19156,
Wed Nov 13 2019,7:30p,LAC,93,HOU,102,Box Score,,18055,
Wed Nov 13 2019,8:00p,SAS,114,MIN,129,Box Score,,11581,
Wed Nov 13 2019,10:00p,GSW,94,LAL,120,Box Score,,18997,
Wed Nov 13 2019,10:00p,TOR,114,POR,106,Box Score,,19544,
Thu Nov 14 2019,6:00p,MIA,108,CLE,97,Box Score,,17374,
Thu Nov 14 2019,8:00p,CHI,115,MIL,124,Box Score,,17627,
Thu Nov 14 2019,8:00p,LAC,127,NOP,132,Box Score,,17147,
Thu Nov 14 2019,8:00p,DAL,103,NYK,106,Box Score,,19812,
Thu Nov 14 2019,9:00p,ATL,112,PHO,128,Box Score,,15143,
Thu Nov 14 2019,10:30p,BRK,93,DEN,101,Box Score,,18394,
Fri Nov 15 2019,7:00p,DET,106,CHO,109,Box Score,,16778,
Fri Nov 15 2019,7:00p,SAS,109,ORL,111,Box Score,,16296,
Fri Nov 15 2019,8:00p,IND,102,HOU,111,Box Score,,18055,
Fri Nov 15 2019,8:00p,UTA,106,MEM,107,Box Score,,16422,
Fri Nov 15 2019,8:00p,WAS,137,MIN,116,Box Score,,12716,
Fri Nov 15 2019,8:00p,PHI,119,OKC,127,Box Score,OT,18203,
Fri Nov 15 2019,10:30p,BOS,105,GSW,100,Box Score,,18064,
Fri Nov 15 2019,10:30p,SAC,97,LAL,99,Box Score,,18997,
Sat Nov 16 2019,6:00p,BRK,117,CHI,111,Box Score,,19148,
Sat Nov 16 2019,7:00p,MIL,102,IND,83,Box Score,,17024,
Sat Nov 16 2019,7:30p,CHO,103,NYK,102,Box Score,,19401,
Sat Nov 16 2019,8:00p,NOP,94,MIA,109,Box Score,,19600,
Sat Nov 16 2019,8:00p,HOU,125,MIN,105,Box Score,,18978,
Sat Nov 16 2019,8:30p,TOR,102,DAL,110,Box Score,,19926,
Sat Nov 16 2019,8:30p,POR,121,SAS,116,Box Score,,18534,
Sat Nov 16 2019,10:30p,ATL,101,LAC,150,Box Score,,19068,
Sun Nov 17 2019,3:00p,PHI,114,CLE,95,Box Score,,19432,
Sun Nov 17 2019,3:30p,BOS,99,SAC,100,Box Score,,16633,
Sun Nov 17 2019,6:00p,DEN,131,MEM,114,Box Score,,14227,
Sun Nov 17 2019,6:00p,WAS,121,ORL,125,Box Score,,16344,
Sun Nov 17 2019,7:00p,GSW,100,NOP,108,Box Score,,16812,
Sun Nov 17 2019,9:30p,ATL,101,LAL,122,Box Score,,18997,
Mon Nov 18 2019,7:00p,CLE,105,NYK,123,Box Score,,17097,
Mon Nov 18 2019,7:30p,IND,115,BRK,86,Box Score,,14140,
Mon Nov 18 2019,7:30p,CHO,96,TOR,132,Box Score,,19800,
Mon Nov 18 2019,8:00p,MIL,115,CHI,101,Box Score,,17565,
Mon Nov 18 2019,8:00p,POR,108,HOU,132,Box Score,,18055,
Mon Nov 18 2019,8:30p,SAS,110,DAL,117,Box Score,,19637,
Mon Nov 18 2019,9:00p,BOS,99,PHO,85,Box Score,,15193,
Mon Nov 18 2019,9:00p,MIN,112,UTA,102,Box Score,,18306,
Mon Nov 18 2019,10:30p,OKC,88,LAC,90,Box Score,,19068,
Tue Nov 19 2019,8:00p,GSW,114,MEM,95,Box Score,,14511,
Tue Nov 19 2019,8:00p,POR,104,NOP,115,Box Score,,15021,
Tue Nov 19 2019,10:00p,PHO,116,SAC,120,Box Score,,16732,
Tue Nov 19 2019,10:30p,OKC,107,LAL,112,Box Score,,18997,
Wed Nov 20 2019,7:00p,NYK,104,PHI,109,Box Score,,20384,
Wed Nov 20 2019,7:00p,SAS,132,WAS,138,Box Score,,14579,
Wed Nov 20 2019,7:30p,MIL,135,ATL,127,Box Score,,16441,
Wed Nov 20 2019,7:30p,CHO,91,BRK,101,Box Score,,14011,
Wed Nov 20 2019,7:30p,GSW,94,DAL,142,Box Score,,19569,
Wed Nov 20 2019,7:30p,CLE,100,MIA,124,Box Score,,19600,
Wed Nov 20 2019,7:30p,ORL,97,TOR,113,Box Score,,19800,
Wed Nov 20 2019,8:00p,DET,89,CHI,109,Box Score,,18119,
Wed Nov 20 2019,8:00p,UTA,103,MIN,95,Box Score,,13177,
Wed Nov 20 2019,9:00p,HOU,95,DEN,105,Box Score,,17778,
