Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,30,30,27.7,5.0,8.1,.617,0.0,0.0,.000,5.0,8.1,.620,.617,1.6,3.1,.511,3.4,6.3,9.7,2.7,0.6,1.2,1.5,2.0,11.6
2,Bam Adebayo\adebaba01,C,22,MIA,33,33,34.4,5.8,10.3,.563,0.0,0.3,.111,5.8,10.1,.575,.565,3.9,5.7,.686,2.6,8.1,10.6,4.6,1.4,1.2,2.9,2.7,15.6
3,LaMarcus Aldridge\aldrila01,C,34,SAS,30,30,33.0,7.9,15.3,.513,0.8,2.0,.400,7.1,13.3,.530,.539,2.9,3.4,.835,2.1,5.5,7.7,2.5,0.6,1.9,1.4,2.2,19.4
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,27,0,12.6,2.0,6.0,.340,1.1,3.1,.341,1.0,2.9,.338,.429,0.4,0.6,.688,0.1,1.9,2.0,1.7,0.3,0.1,1.0,1.1,5.6
5,Grayson Allen\allengr01,SG,24,MEM,19,0,18.3,3.0,6.9,.435,1.5,3.7,.394,1.5,3.2,.483,.542,1.1,1.2,.870,0.2,2.4,2.5,1.5,0.3,0.1,1.0,1.4,8.5
6,Jarrett Allen\allenja01,C,21,BRK,32,29,26.5,4.6,7.1,.655,0.0,0.1,.000,4.6,7.0,.661,.655,2.7,4.3,.635,3.5,6.7,10.2,1.3,0.7,1.4,1.3,2.5,12.0
7,Kadeem Allen\allenka01,SG,27,NYK,2,0,9.0,1.5,3.5,.429,1.5,2.5,.600,0.0,1.0,.000,.643,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,4.5
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
9,Kyle Anderson\anderky01,PF,26,MEM,28,2,18.3,2.2,4.8,.466,0.2,0.9,.208,2.0,3.9,.523,.485,0.8,1.3,.622,1.1,3.3,4.4,2.4,0.6,0.5,0.9,1.5,5.4
10,Ryan Anderson\anderry01,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
11,Giannis Antetokounmpo\antetgi01,PF,25,MIL,33,33,31.0,11.3,20.3,.556,1.7,5.1,.331,9.6,15.2,.631,.598,6.1,10.1,.599,2.6,10.4,13.0,5.6,1.2,1.2,3.6,3.2,30.4
12,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo\antetth01,SF,27,MIL,9,0,4.7,1.0,1.8,.563,0.0,0.2,.000,1.0,1.6,.643,.563,0.4,0.9,.500,0.6,0.1,0.7,0.7,0.1,0.1,0.3,0.7,2.4
14,Carmelo Anthony\anthoca01,PF,35,POR,20,20,31.5,6.2,14.6,.421,1.6,3.9,.403,4.6,10.8,.428,.474,2.4,2.9,.810,1.2,5.1,6.2,1.2,1.1,0.8,1.9,3.2,16.2
15,OG Anunoby\anunoog01,SF,22,TOR,33,32,29.6,4.4,8.8,.497,1.3,3.8,.352,3.1,5.1,.605,.572,0.9,1.5,.625,1.0,4.7,5.8,1.6,1.1,0.8,1.3,2.5,11.0
16,Ryan Arcidiacono\arcidry01,PG,25,CHI,34,0,15.0,1.3,3.4,.385,0.8,2.0,.406,0.5,1.4,.354,.504,0.5,0.7,.750,0.4,1.3,1.7,1.5,0.4,0.1,0.5,1.6,4.0
17,Trevor Ariza\arizatr01,SF,34,SAC,25,0,23.6,1.8,4.9,.366,1.2,3.6,.341,0.6,1.3,.438,.492,0.5,0.6,.800,0.7,3.6,4.4,1.4,1.0,0.2,0.9,1.8,5.3
