Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,6,6,162,20,45,.444,0,0,,20,45,.444,.444,5,20,.250,20,43,63,12,2,4,9,13,45
2,Bam Adebayo\adebaba01,C,22,MIA,9,9,286,37,68,.544,1,5,.200,36,63,.571,.551,40,67,.597,21,63,84,44,16,14,23,25,115
3,LaMarcus Aldridge\aldrila01,C,34,SAS,8,8,262,61,118,.517,3,12,.250,58,106,.547,.530,27,32,.844,20,33,53,20,5,17,19,18,152
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,8,0,104,15,54,.278,8,28,.286,7,26,.269,.352,5,6,.833,2,16,18,24,3,0,6,13,43
5,Grayson Allen\allengr01,SG,24,MEM,5,0,84,11,35,.314,5,19,.263,6,16,.375,.386,10,12,.833,1,9,10,8,2,0,7,10,37
6,Jarrett Allen\allenja01,C,21,BRK,8,5,226,30,49,.612,0,0,,30,49,.612,.612,16,32,.500,27,50,77,8,4,14,11,16,76
7,Al-Farouq Aminu\aminual01,PF,29,ORL,9,0,202,13,43,.302,6,18,.333,7,25,.280,.372,11,15,.733,12,39,51,10,10,6,9,22,43
8,Kyle Anderson\anderky01,SF,26,MEM,8,0,166,22,44,.500,2,8,.250,20,36,.556,.523,11,18,.611,6,27,33,18,6,5,6,14,57
9,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,0,7,7,2,1,0,1,1,5
10,Giannis Antetokounmpo\antetgi01,PF,25,MIL,9,9,294,94,164,.573,10,36,.278,84,128,.656,.604,64,101,.634,21,106,127,65,12,15,37,39,262
11,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
12,Thanasis Antetokounmpo\antetth01,SF,27,MIL,1,0,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,0,2,1,0,0,0,0,2
13,OG Anunoby\anunoog01,SF,22,TOR,8,8,272,44,77,.571,18,33,.545,26,44,.591,.688,4,8,.500,12,41,53,17,11,13,8,21,110
14,Ryan Arcidiacono\arcidry01,PG,25,CHI,9,0,128,10,22,.455,7,13,.538,3,9,.333,.614,8,9,.889,4,10,14,13,4,1,1,14,35
15,Trevor Ariza\arizatr01,SF,34,SAC,9,0,208,15,39,.385,12,30,.400,3,9,.333,.538,4,4,1.000,4,32,36,9,7,0,6,17,46
16,D.J. Augustin\augusdj01,PG,32,ORL,9,5,229,30,73,.411,6,22,.273,24,51,.471,.452,19,22,.864,5,9,14,36,3,0,10,8,85
17,Deandre Ayton\aytonde01,C,21,PHO,1,1,33,9,14,.643,0,0,,9,14,.643,.643,0,0,,3,8,11,0,1,4,0,2,18
18,Dwayne Bacon\bacondw01,SG,24,CHO,8,8,210,33,94,.351,6,25,.240,27,69,.391,.383,14,20,.700,7,24,31,13,7,1,13,19,86
19,Marvin Bagley\baglema01,PF,20,SAC,1,1,28,6,16,.375,0,0,,6,16,.375,.375,2,4,.500,4,6,10,0,1,1,1,1,14
20,Lonzo Ball\balllo01,PG,22,NOP,8,8,232,34,82,.415,18,49,.367,16,33,.485,.524,6,10,.600,6,30,36,49,13,1,19,14,92
21,Mo Bamba\bambamo01,C,21,ORL,7,0,92,15,40,.375,4,15,.267,11,25,.440,.425,1,4,.250,9,24,33,3,2,5,5,16,35
22,J.J. Barea\bareajo01,PG,35,DAL,1,0,16,3,6,.500,3,4,.750,0,2,.000,.750,2,2,1.000,1,0,1,3,0,0,2,0,11
23,Harrison Barnes\barneha02,SF,27,SAC,9,9,304,52,106,.491,14,37,.378,38,69,.551,.557,22,29,.759,14,33,47,15,12,2,7,13,140
24,RJ Barrett\barrerj01,SG,19,NYK,9,9,329,54,134,.403,11,31,.355,43,103,.417,.444,27,59,.458,12,45,57,35,12,3,24,24,146
25,Will Barton\bartowi01,SG,29,DEN,6,6,187,30,66,.455,10,20,.500,20,46,.435,.530,21,27,.778,10,32,42,11,8,6,10,7,91
26,Nicolas Batum\batumni01,SF,31,CHO,1,0,11,0,0,,0,0,,0,0,,,0,0,,1,3,4,2,0,0,2,2,0
27,Aron Baynes\baynear01,C,33,PHO,8,7,199,47,80,.588,16,34,.471,31,46,.674,.688,18,24,.750,16,29,45,26,3,7,10,33,128
28,Kent Bazemore\bazemke01,SF,30,POR,9,0,204,24,64,.375,10,29,.345,14,35,.400,.453,8,13,.615,2,38,40,14,9,7,14,35,66
29,Darius Bazley\bazleda01,PF,19,OKC,8,0,143,14,36,.389,7,20,.350,7,16,.438,.486,5,6,.833,2,31,33,5,3,2,9,7,40
30,Bradley Beal\bealbr01,SG,26,WAS,8,8,286,72,178,.404,22,75,.293,50,103,.485,.466,43,54,.796,10,28,38,52,9,2,31,22,209
31,Malik Beasley\beaslma01,SG,23,DEN,8,0,142,21,57,.368,12,29,.414,9,28,.321,.474,3,3,1.000,2,9,11,7,6,1,10,12,57
32,Marco Belinelli\belinma01,SG,33,SAS,8,0,134,12,50,.240,5,27,.185,7,23,.304,.290,5,7,.714,0,12,12,9,2,0,5,8,34
33,Jordan Bell\belljo01,PF,25,MIN,4,0,43,9,13,.692,0,1,.000,9,12,.750,.692,5,5,1.000,5,14,19,5,0,1,9,4,23
34,DeAndre' Bembry\bembrde01,SG,25,ATL,8,0,194,31,55,.564,1,6,.167,30,49,.612,.573,9,22,.409,11,24,35,25,11,1,16,18,72
